detectorName,descriptorName,img,ttc_lidar,ttc_camera,t_total
SHITOMASI,FREAK,9,15.8894,11.2798,0.43024
SHITOMASI,FREAK,10,13.7297,11.8697,0.423748
SHITOMASI,FREAK,11,10.4914,11.0986,0.433833
SHITOMASI,FREAK,12,10.1,12.7008,0.424065
SHITOMASI,FREAK,13,9.22307,12.1365,0.412744
SHITOMASI,FREAK,14,10.9678,12.5008,0.417391
SHITOMASI,FREAK,15,8.09422,9.8895,0.417562
SHITOMASI,FREAK,16,8.81392,10.347,0.430841
SHITOMASI,FREAK,17,10.2926,9.56663,0.418233
SHITOMASI,FREAK,18,8.30978,7.34604,0.43736
SHITOMASI,ORB,1,12.9722,14.0745,0.40244
SHITOMASI,ORB,2,12.264,12.4568,0.409576
SHITOMASI,ORB,3,13.9161,12.3423,0.39929
SHITOMASI,ORB,4,15.804,12.7924,0.398077
SHITOMASI,ORB,5,12.5951,12.4719,0.400228
SHITOMASI,ORB,6,7.14812,15.4847,0.39825
SHITOMASI,ORB,7,34.3404,13.8434,0.389559
SHITOMASI,ORB,8,18.7875,11.7136,0.395631
SHITOMASI,ORB,9,15.8894,12.1952,0.395177
SHITOMASI,ORB,10,13.7297,13.8326,0.38958
SHITOMASI,ORB,11,10.4914,11.3528,0.394688
SHITOMASI,ORB,12,10.1,11.848,0.395665
SHITOMASI,ORB,13,9.22307,11.7077,0.39513
SHITOMASI,ORB,14,10.9678,10.4304,0.406065
SHITOMASI,ORB,15,8.09422,10.2478,0.392532
SHITOMASI,ORB,16,8.81392,11.5174,0.394035
SHITOMASI,ORB,17,10.2926,10.5209,0.390772
SHITOMASI,ORB,18,8.30978,7.81147,0.404269
SHITOMASI,SIFT,1,12.9722,13.826,0.404793
SHITOMASI,SIFT,2,12.264,12.4195,0.403016
SHITOMASI,SIFT,3,13.9161,11.1074,0.402926
SHITOMASI,SIFT,4,15.804,12.5354,0.404567
SHITOMASI,SIFT,5,12.5951,12.2414,0.39934
SHITOMASI,SIFT,6,7.14812,13.4007,0.408147
SHITOMASI,SIFT,7,34.3404,12.7751,0.404344
SHITOMASI,SIFT,8,18.7875,12.5114,0.414685
SHITOMASI,SIFT,9,15.8894,11.3432,0.40465
SHITOMASI,SIFT,10,13.7297,13.0515,0.420334
SHITOMASI,SIFT,11,10.4914,11.9258,0.418754
SHITOMASI,SIFT,12,10.1,11.5628,0.42568
SHITOMASI,SIFT,13,9.22307,12.2022,0.415167
SHITOMASI,SIFT,14,10.9678,10.7982,0.414212
SHITOMASI,SIFT,15,8.09422,10.0611,0.402356
SHITOMASI,SIFT,16,8.81392,11.5926,0.411843
SHITOMASI,SIFT,17,10.2926,11.1041,0.399306
SHITOMASI,SIFT,18,8.30978,9.28292,0.405596
SIFT,BRIEF,1,12.9722,12.2521,0.445315
SIFT,BRIEF,2,12.264,13.5233,0.443269
SIFT,BRIEF,3,13.9161,15.089,0.440812
SIFT,BRIEF,4,15.804,24.2455,0.43964
SIFT,BRIEF,5,12.5951,12.7525,0.434152
SIFT,BRIEF,6,7.14812,11.9833,0.443824
SIFT,BRIEF,7,34.3404,14.8636,0.440588
SIFT,BRIEF,8,18.7875,15.9774,0.430523
SIFT,BRIEF,9,15.8894,12.7337,0.438149
SIFT,BRIEF,10,13.7297,10.3904,0.439217
SIFT,BRIEF,11,10.4914,11.522,0.444996
SIFT,BRIEF,12,10.1,11.1629,0.437624
